demand,grid1-load,grid1-temp,grid1-loss
351.2253663,449.532,267.85,18.766
344.420458,439.036,267.55,18.02
342.4132137,442.237,267.25,18.246
345.4270711,447.836,266.95,18.645
357.5612574,463.995,267.05,19.823
393.1512837,514.748,267.15,23.797
445.3529004,576.118,267.25,29.153
464.8048818,593.987,267.35,30.826
465.8348277,591.086,267.45,30.551
465.8714191,588.167,267.55,30.275
461.1222047,586.467,268.45,30.115
459.0048742,586.967,269.25,30.162
457.772763,584.461,268.75,29.928
459.1220809,585.342,269.45,30.01
465.8999028,595.818,270.15,31
470.3855518,596.56,270.85,31.071
462.1471906,588.865,271.45,30.341
451.163809,574.806,272.15,29.032
438.7593938,567.903,272.75,28.401
422.6732621,549.709,273.15,26.774
405.2858596,530.383,273.55,25.105
387.3799987,507.564,273.95,23.21
372.3999855,480.803,274.75,21.094
351.10627,451.493,275.65,18.908
333.2953937,429.053,275.75,17.327
322.9185232,416.44,276.05,16.474
316.6937424,407.865,276.35,15.908
314.6110537,405.325,276.65,15.743
316.4380872,405.051,276.45,15.725
322.9532423,411.779,276.25,16.165
340.3399404,427.785,275.95,17.24
361.8626565,451.77,276.35,18.928
381.057267,478.164,276.65,20.891
393.4810954,496.287,276.95,22.304
395.4245863,499.612,277.45,22.569
394.1662245,493.664,277.85,22.096
392.7473948,488.504,277.75,21.691
393.3041365,485.4,277.95,21.449
402.2714441,491.652,278.25,21.938
410.0381633,497.634,278.45,22.411
411.4754436,499.758,278.45,22.581
406.9266367,492.972,278.35,22.042
395.1008593,480.744,278.25,21.089
379.5303324,463.858,277.65,19.813
365.059865,449.462,277.05,18.761
349.8399654,432.168,276.35,17.542
286.9880526,412.113,276.15,16.187
274.1869063,403.831,275.85,15.646
263.6558092,393.74,276.45,15.002
229.2242436,389.271,276.15,14.723
228.0151172,384.02,275.75,14.398
229.5657318,383.108,275.35,14.342
234.7100091,387.794,275.35,14.631
281.3396486,392.904,275.25,14.95
298.2342305,406.731,275.25,15.834
315.3842207,427.793,275.55,17.241
332.2093005,448.582,275.95,18.698
346.7868083,469.506,276.25,20.235
355.8516371,481.044,276.25,21.112
360.1970037,484.517,276.25,21.381
363.2642247,488.32,276.15,21.677
371.6095329,497.029,275.95,22.363
387.4774805,506.01,275.65,23.084
397.7792279,511.601,275.45,23.539
397.9494481,509.193,275.45,23.342
394.3306658,505.944,275.55,23.078
390.8048022,500.153,275.55,22.612
385.1708444,495.011,275.35,22.203
377.6585322,481.125,275.15,21.118
361.2868587,463.414,275.05,19.78
349.323004,437.325,274.75,17.9
326.0594476,413.206,274.55,16.259
311.5795921,399.486,274.65,15.367
266.0671551,391.468,274.55,14.86
264.5919998,388.776,274.55,14.692
268.2383252,392.827,274.45,14.945
282.1116751,411.014,274.25,16.115
371.7600752,457.684,274.15,19.358
428.7678412,520.849,274.05,24.303
447.905029,537.071,274.15,25.676
448.4098936,535.74,274.35,25.561
447.7232078,538.136,274.45,25.767
446.3387753,534.477,274.55,25.453
445.5485225,533.743,274.65,25.391
445.6824153,536.167,274.05,25.598
450.7610578,539.907,273.95,25.92
463.1387173,555.474,273.95,27.284
473.3791277,565.552,273.85,28.188
466.4677045,556.899,273.75,27.411
457.0099335,544.899,273.65,26.353
450.3224949,536.373,273.55,25.616
443.2143529,527.292,273.65,24.843
431.356667,513.683,273.65,23.71
410.7503597,487.51,273.75,21.613
380.2074557,452.596,273.85,18.987
352.7495466,424.026,274.05,16.984
336.3390376,406.167,273.85,15.798
283.1131813,398.178,273.85,15.284
281.0668201,394.751,273.85,15.066
283.8528112,398.112,273.85,15.279
295.5463339,413.176,274.05,16.257
387.3108846,458.635,274.35,19.428
442.2224158,528.261,274.55,24.925
459.224074,548.625,274.75,26.679
457.8264143,529.922,274.85,25.065
457.4022135,535.231,275.05,25.518
455.2085691,532.102,275.15,25.251
453.0419074,534.505,275.25,25.456
452.5796901,537.534,274.15,25.715
455.3348176,545.188,274.15,26.378
465.5396221,556.872,274.15,27.408
